gsisname,height,weight,college,birthdate,yearspro,team
B.Dawkins,72,210,Clemson,10/13/1973,16,
C.Balogh,78,303,Montana,2/14/1986,2,
T.Evans,72,205,West Texas A&M;,2/27/1988,1,
L.Banks,75,243,Southern Mississippi,12/12/1987,1,
C.Bryan,77,220,No College,3/6/1982,2,
C.Hall,68,187,Air Force,5/23/1986,4,
T.Gafford,74,244,Houston,1/29/1983,8,OAK
J.Ryan,72,217,Regina (Canada),11/26/1981,10,SEA
P.Pratt,70,185,Nevada,5/1/1985,2,
M.Mallett,72,210,Arkansas-Pine Bluff,5/13/1986,1,
M.Overton,73,243,Western Washington,7/6/1985,4,IND
G.Derricks,74,202,San Diego,1/8/1988,1,
Bo.Smith,72,190,Weber State,6/8/1983,1,
E.Dickson,76,255,Oregon,7/25/1987,6,CAR
J.Veldheer,80,321,Hillsdale,6/14/1987,6,ARI
A.Carrington,77,301,Arkansas State,6/19/1987,6,BUF
M.Burnett,73,209,Georgia Tech,1/13/1989,6,GB
A.Spievey,71,195,Iowa,4/15/1988,4,
J.Murphy,72,200,South Florida,1/13/1987,4,
J.Asamoah,76,305,Illinois,7/21/1988,6,
M.Lewis,74,203,Vanderbilt,11/24/1987,4,
T.Carter,73,190,Grand Valley State,6/7/1986,2,
D.Smith,74,300,Louisiana Tech,6/9/1988,6,CHI
J.Jerry,77,340,Mississippi,6/14/1986,6,NYG
C.Stitser,73,200,Fresno State,5/19/1985,2,
R.Jean Francois,75,297,LSU,11/23/1986,7,WAS
,78,285,Wisconsin,3/3/1991,1,
M.Hawkins,73,187,Oklahoma,7/15/1983,4,
G.Hangartner,77,305,Texas A&M,4/22/1982,9,
T.Hagler,72,236,Cincinnati,12/3/1981,6,
K.Kapanui,75,270,West Texas A&M;,11/13/1983,2,
V.Young,77,232,Texas,5/18/1983,7,
D.Ferguson,78,310,Virginia,12/10/1983,10,NYJ
R.Bush,72,205,USC,3/2/1985,10,SF
D.Dinkins,76,260,Pittsburgh,1/20/1977,8,
S.Weatherford,74,210,Illinois,12/17/1982,10,
K.Walter,75,218,Eastern Michigan,8/4/1981,11,
C.Bykowski,79,313,Iowa State,7/25/1990,2,MIN
B.Hepburn,76,235,Florida A&M,12/6/1989,1,
M.Anderson,76,255,Alabama,5/26/1983,7,
,76,300,South Carolina,7/17/1990,2,CIN
D.King,76,281,Oklahoma,12/27/1989,3,KC
B.Daniels,71,217,South Florida,10/24/1989,3,HOU
,76,302,New Hampshire,3/20/1990,1,
,80,308,Ohio State,2/22/1991,2,
T.Moll,77,315,Nevada,8/23/1983,7,
J.Cunningham,75,258,South Carolina,1/14/1991,1,
M.Cox,73,222,Massachusetts,11/14/1988,3,
A.Carroll,70,190,Arkansas,8/4/1983,5,
J.Losman,74,217,Tulane,3/12/1981,8,
W.Smith,75,282,Ohio State,7/4/1981,11,
L.Evans,72,210,Wisconsin,3/11/1981,9,
I.Olshansky,77,315,Oregon,5/3/1982,8,
C.Gamble,73,205,Ohio State,3/11/1983,9,
A.Odom,77,275,Alabama,9/24/1981,7,
D.Harris,68,203,Troy,9/3/1988,3,SF
J.Dickson,73,245,Idaho,7/13/1989,1,
C.Bradfield,76,308,Grand Valley State,9/14/1987,5,
A.Binns,75,211,Cincinnati,9/8/1989,3,
E.Gordon,72,232,Michigan State,8/22/1987,1,
T.Gallarda,77,262,Boise State,5/8/1988,2,
M.Estrada,70,196,Northern Arizona,10/20/1988,1,
G.Ellingson,75,197,Florida International,12/30/1988,2,
M.Furrey,72,192,Northern Iowa,3/12/1977,8,
C.Rabach,76,288,Wisconsin,9/24/1977,10,
S.Neal,76,305,Cal State-Bakersfield,10/9/1976,10,
C.Randle,71,198,Utah State,6/18/1988,1,
R.Radway,75,204,Abilene Christian,7/5/1987,2,
L.Leong,73,175,Texas Tech,8/23/1987,1,
O.Lemon,73,242,Oklahoma State,9/9/1987,5,
K.Kowalski,75,298,Toledo,1/2/1989,3,
C.Jones,72,205,Carson-Newman,7/21/1989,4,DAL
M.Butler,73,187,Georgia Tech,10/20/1988,2,BUF
D.Bailey,72,195,Oklahoma State,1/26/1988,5,DAL
A.Ta'amu,75,348,Washington,8/23/1990,4,
A.Gettis,74,305,Iowa,12/9/1988,2,NYG
B.Brinkley,76,248,Missouri,1/25/1990,4,TEN
D.Reid,74,270,Minnesota,6/20/1982,6,
B.Hernandez,71,190,Utah,4/13/1984,1,
A.Jeffery,75,216,South Carolina,2/14/1990,4,CHI
D.Moses,74,249,Tulane,1/4/1989,4,KC
N.Stephens,75,221,Tarleton State,5/19/1987,1,
J.Haden,71,195,Florida,4/14/1989,6,CLE
C.Spiller,71,200,Clemson,8/5/1987,6,NO
T.Alualu,75,310,California,5/12/1987,6,JAC
A.Davis,77,323,Rutgers,10/11/1989,6,
R.Mathews,72,220,Fresno State,10/10/1987,6,PHI
B.Graham,74,265,Michigan,4/3/1988,6,PHI
E.Thomas,70,202,Texas,5/7/1989,6,SEA
J.Pierre-Paul,77,278,South Florida,1/1/1989,6,NYG
D.Morgan,75,261,Georgia Tech,1/6/1989,6,TEN
M.Iupati,77,331,Idaho,5/12/1987,6,ARI
D.Clark,75,249,Wake Forest,4/20/1977,13,
R.Lilja,74,290,Kansas State,10/15/1981,10,
B.Sapp,70,190,Northern Iowa,1/20/1981,8,
M.Spanos,77,310,USC,12/31/1984,2,
D.Miller,77,303,Florida,7/6/1985,3,
P.Smith,73,202,Tulsa,7/2/1984,2,
L.Myles,71,230,Louisville,1/7/1986,1,
C.Smith,69,190,Fresno State,7/4/1985,3,
B.Witherspoon,70,180,Stillman,6/5/1985,5,
E.Brock,72,204,Auburn,4/4/1985,3,
C.Bradwell,77,280,Troy,12/17/1983,2,
J.Cudjo,74,298,Central Oklahoma,9/28/1986,4,DET
J.Miles,74,211,Massachusetts,7/20/1987,6,
V.Rey,72,255,Duke,9/6/1987,5,CIN
J.Tronzo,71,240,Louisville,6/10/1987,2,
M.Windt,73,237,Cincinnati,5/29/1986,6,SD
,75,240,Southeastern Louisiana,3/12/1990,0,
A.Chapman,71,181,Kansas State,7/23/1991,0,
S.Progar,75,250,Northern Illinois,6/7/1990,0,
A.Amos,71,178,Middle Tennessee State,8/2/1990,0,
L.Coleman,76,322,Louisiana-Lafayette,12/21/1986,1,
S.Hooey,81,304,Cincinnati,7/26/1990,1,
T.Jenkins,73,200,Fort Lewis,2/6/1991,0,
A.Martin,71,195,North Dakota State,12/23/1989,0,
J.Dugan,76,258,Maryland,4/8/1981,8,
J.Sorgi,77,196,Wisconsin,12/3/1980,7,
V.Hutchins,70,180,Mississippi,2/14/1981,6,
J.Allen,78,255,Idaho State,4/3/1982,12,CAR
,72,241,Clemson,12/19/1992,0,BUF
V.Mayle,74,224,Washington State,6/12/1991,0,DAL
,73,250,Louisiana Tech,12/20/1991,0,WAS
,77,257,Florida,2/17/1993,0,TB
,73,224,Northern Iowa,12/16/1991,0,ARI
,78,250,Illinois,2/13/1992,0,
N.DiMarco,74,237,William Penn,1/28/1992,0,
A.Furney,70,210,Washington State,6/23/1991,0,
K.Redfern,74,215,Wofford,9/26/1991,1,
T.Davis,73,230,Sacramento State,5/17/1992,2,DEN
,76,305,Nevada,10/11/1991,2,CLE
,74,285,Florida,2/24/1992,2,NE
,71,185,Nevada-Las Vegas,7/27/1991,2,
,75,215,Penn State,8/24/1993,2,JAC
,77,306,Texas A&M,4/25/1992,0,CIN
,75,323,Duke,2/9/1992,0,DET
,72,205,Connecticut,9/26/1992,0,DAL
B.Moore,73,240,Oklahoma,1/16/1979,8,
,70,225,Yale,9/24/1993,0,IND
,72,222,Toledo,12/27/1991,0,IND
A.Green,72,218,Nebraska,2/16/1977,12,
T.Pryce,77,290,Clemson,8/3/1975,14,
N.Livings,76,320,LSU,3/16/1982,6,
J.Hekker,77,236,Oregon State,2/8/1990,4,STL
Q.Pointer,69,186,Nevada-Las Vegas,4/16/1988,3,
M.Daniels,72,212,Duke,9/27/1989,3,SD
C.Mooney,70,238,Army,4/3/1986,3,ATL
C.Middleton,71,220,Jacksonville State,5/19/1990,0,
M.Masifilo,75,280,Stanford,10/1/1989,4,
M.Conrath,79,306,Virginia,8/11/1989,3,
A.Hoffman-Ellis,72,232,Washington State,8/14/1989,0,
O.Pace,79,325,Ohio State,11/4/1975,13,
L.Robinson,74,253,Alcorn State,4/23/1987,1,
D.Nickey,75,226,Ohio State,4/25/1980,8,
B.St. Pierre,75,224,Boston College,11/28/1979,8,
K.Moore,70,214,Florida,4/13/1987,3,
M.Fowler,75,310,Maryland,3/31/1979,8,
D.Olatoye,73,194,North Carolina A&T,7/20/1991,1,DAL
,75,295,Ashland,4/12/1991,1,CLE
,75,214,Houston,3/10/1992,0,
T.Jacobs,71,191,Texas A&M,5/20/1992,2,NYG
J.Hurst,77,312,North Carolina,12/17/1991,2,BAL
,79,305,Oklahoma State,2/14/1991,0,
J.Davis,73,206,Northern Colorado,8/22/1991,1,
J.Butler,74,213,Tennessee-Martin,4/22/1991,2,BAL
,74,310,Temple,5/12/1991,0,
A.Mack,76,311,California,11/19/1985,7,CLE
Q.Demps,71,208,Texas-El Paso,6/29/1985,8,HOU
R.Ayers,75,275,Tennessee,9/6/1985,7,NYG
J.Freeman,78,240,Kansas State,1/13/1988,6,IND
L.English,74,255,Northern Illinois,1/22/1986,7,TB
M.Jenkins,72,204,Ohio State,12/20/1987,7,PHI
C.Obi,75,290,Colorado,12/21/1988,1,
B.Jennings,77,242,Arizona State,10/14/1976,14,
C.Parker,73,223,Arizona State,5/6/1989,1,
A.Franklin,71,189,New Mexico State,12/6/1992,0,
J.Abraham,76,263,South Carolina,5/6/1978,15,
B.Ewing,71,243,Wisconsin,12/26/1989,3,
S.Ellis,77,290,Tennessee,6/24/1977,12,
J.Dorenbos,72,250,Texas-El Paso,7/21/1980,13,PHI
R.Johnson,75,313,California (PA),2/23/1989,2,
T.Ganaway,73,240,Baylor,10/7/1988,2,
C.Fenner,73,189,Holy Cross,7/6/1990,3,
D.Landry,73,212,Georgia Tech,12/30/1982,9,
J.Kitna,74,220,Central Washington,9/21/1972,16,
G.Russell,71,215,Minnesota,9/6/1986,3,
D.Croom,74,190,Central Arkansas,4/26/1991,1,
J.Cook,69,215,Youngstown State,//,1,
M.Brown,73,190,Arkansas State,1/27/1987,3,
D.McCleskey,72,225,Indiana State,9/18/1988,1,
,77,303,Eastern Kentucky,5/16/1989,2,
K.Pough,75,225,Howard,2/5/1990,1,
,75,305,Notre Dame,7/29/1989,1,DET
P.Ashford,71,182,Northern Illinois,3/2/1991,0,
M.Newton,70,207,Buffalo,11/11/1987,3,
B.James,67,176,Florida,12/21/1987,1,
B.White,74,205,Michigan State,2/20/1987,2,
V.Tuihalamaka,72,230,Arizona,2/28/1987,2,
T.Turner,71,188,Ohio U.,4/30/1987,1,
D.Brooks,72,204,Georgia Tech,4/15/1985,3,
P.Dawson,71,200,Texas,1/23/1975,17,SF
D.Clark,76,325,New Mexico,5/22/1986,2,
O.Schmitt,74,250,West Virginia,2/13/1985,5,
M.Richardson,72,205,Arkansas,6/30/1985,2,
C.Gatewood,75,250,Vanderbilt,5/18/1985,4,
J.Hefney,69,185,Tennessee,2/27/1985,1,
C.Clark,77,305,Southern Mississippi,10/1/1985,7,HOU
C.Nicks,77,349,Nebraska,5/14/1985,7,
E.Mack,70,175,Troy,7/14/1986,7,
H.Fraley,75,310,Robert Morris,9/21/1977,12,
,74,240,West Texas A&M,10/31/1989,0,
A.Hall,70,212,South Florida,8/20/1982,4,
D.Kreider,71,250,New Hampshire,3/11/1977,10,
J.Clausen,74,210,Notre Dame,9/21/1987,6,BAL
Z.Beadles,76,315,Utah,11/19/1986,6,JAC
L.Houston,75,270,Texas,6/24/1987,6,CHI
R.Gronkowski,78,265,Arizona,5/14/1989,6,NE
T.Troup,75,320,Central Florida,6/23/1988,4,
A.Benn,74,220,Illinois,9/8/1988,5,JAC
T.Ward,70,200,Oregon,12/12/1986,6,DEN
N.Allen,72,210,South Florida,11/30/1987,6,OAK
D.McCluster,68,170,Mississippi,8/25/1988,6,TEN
B.Price,73,303,UCLA,4/10/1989,3,
E.Pedescleaux,78,305,Northern Iowa,1/19/1985,0,
B.Stokley,72,194,Louisiana-Lafayette,6/23/1976,16,
L.Fletcher,70,242,John Carroll,5/19/1975,16,
A.Ayers,75,255,UCLA,7/10/1989,5,STL
D.Joseph,75,313,Oklahoma,11/22/1983,9,
J.Joseph,71,188,South Carolina,4/16/1984,10,HOU
A.Cromartie,74,210,Florida State,4/15/1984,10,NYJ
T.Hali,75,275,Penn State,11/3/1983,10,KC
L.Maroney,71,220,Minnesota,2/5/1985,5,
M.Lawson,77,240,North Carolina State,7/3/1984,10,BUF
T.Hill,70,185,Clemson,6/3/1982,5,
J.Allen,73,200,Tennessee,7/5/1983,7,
C.Greenway,75,237,Iowa,1/12/1983,10,MIN
B.Carpenter,74,249,Ohio State,8/1/1983,7,
D.Jones,74,221,LSU,7/5/1980,12,PHI
M.LeVoir,79,310,Notre Dame,7/29/1982,6,
G.Brackett,71,235,Rutgers,5/23/1980,9,
J.Harrison,69,205,Washington State,2/26/1983,7,
M.Hagans,70,205,Virginia,12/29/1982,4,
T.Johnson,73,200,Florida,12/18/1978,7,
M.Catapano,76,270,Princeton,8/17/1990,3,NYJ
B.Scott,73,220,Penn State,4/13/1981,11,
T.Riddick,69,200,Notre Dame,5/4/1991,3,DET
P.Watkins,77,220,Florida State,12/18/1982,5,
,70,191,Jacksonville State,11/5/1990,3,
R.O'Callaghan,79,330,California,7/19/1983,6,
,70,203,Oregon,12/20/1989,1,
B.Johnson,77,245,Louisville,4/5/1983,7,
J.Scott,78,318,Texas,1/10/1983,9,
N.Moody,73,245,Florida State,1/29/1990,3,SEA
A.Economos,73,250,Georgia Tech,6/24/1982,8,
W.Clarke,78,291,West Virginia,5/4/1991,2,CIN
D.Connolly,76,305,Southeast Missouri State,9/2/1982,9,
,75,317,Clemson,2/18/1991,1,SF
,75,207,Illinois State,9/21/1992,0,CHI
M.McKenzie,72,194,Memphis,4/26/1976,11,
C.Hanson,74,202,Marshall,10/25/1976,11,
T.Yates,76,217,North Carolina,5/28/1987,5,HOU
J.Kerley,69,188,Texas Christian,11/8/1988,5,NYJ
K.Biermann,75,255,Montana,9/12/1985,8,ATL
,72,190,Michigan State,7/25/1992,0,MIN
N.Harper,70,182,Fort Valley State,9/10/1974,9,
N.Paul,73,241,Nebraska,8/9/1989,5,WAS
J.Hines,73,222,Ohio State,11/11/1987,2,
C.Graham,75,244,Louisville,2/6/1989,1,
C.Cunningham,74,210,Tennessee,1/12/1988,1,
M.Simmons,75,248,Kent State,1/29/1989,1,
V.Stumon,73,266,Arkansas,11/15/1987,1,
A.Lewis,74,303,Syracuse,2/18/1987,1,
P.Fleps,73,236,Southern Methodist,10/31/1986,1,
D.Ambrose,77,270,Arkansas,9/9/1989,2,
J.Brown,76,306,Troy,11/30/1988,3,
R.Cameron,74,295,Old Dominion,8/15/1989,1,
M.Szymanski,73,196,Southern Methodist,8/13/1988,1,
A.Alexander,71,213,Wyoming,10/17/1990,1,
B.Golden,71,186,West Texas A&M,7/20/1988,2,ARI
E.Elder,70,185,Arizona State,2/14/1989,1,
T.Crump,74,223,Western Illinois,7/23/1989,1,
J.Jones,70,197,Wayne State (Mich.),7/18/1989,1,
C.Summers,77,215,Liberty,7/10/1989,1,
N.Hixson,73,185,Hillsdale,1/15/1989,1,
M.Gutierrez,76,230,Idaho State,6/9/1984,5,
A.Thomas,69,185,Toledo,2/25/1989,1,
G.Wolfe,67,185,Northern Illinois,8/17/1984,4,
D.Hughes,70,186,California,8/21/1985,6,
A.Waters,75,238,Clemson,7/25/1984,4,
R.McDonald,75,290,Florida,9/2/1984,9,
Q.Pitcock,74,299,Ohio State,9/14/1983,4,
J.Higgins,71,185,Texas-El Paso,9/8/1983,5,
M.Bush,73,245,Louisville,6/16/1984,8,
A.Podlesh,71,200,Maryland,8/11/1983,8,
B.Robison,75,259,Texas,4/27/1983,9,MIN
J.Wolfert,74,185,Missouri,10/22/1985,2,
J.McGee,70,185,Mississippi,7/23/1988,1,
J.Fletcher,75,258,Appalachian State,6/23/1989,1,
L.Castile,75,223,Delta State,9/7/1988,1,
N.Martinez,76,308,Oklahoma State,2/16/1989,1,
M.Brown,70,200,Liberty,2/9/1989,3,
F.Koloto,75,297,San Jose State,5/9/1989,1,
M.Simms,75,210,Tennessee,9/27/1988,2,
D.Richard,73,215,South Carolina State,8/16/1989,1,
J.Kearse,73,209,Washington,2/6/1990,4,SEA
J.Trotter,73,262,Stephen F. Austin St.,1/20/1977,11,
O.Martin,74,260,Virginia Tech,9/2/1985,1,
A.Kimble,72,215,Stanford,4/9/1986,1,
L.Ellis,74,320,Shaw,10/7/1985,2,
R.Baker,77,302,Purdue,11/25/1984,5,
M.Desormeaux,72,215,Louisiana-Lafayette,9/29/1985,0,
L.Edwards,76,275,LSU,4/29/1990,3,BUF
K.Wooten,71,212,Nevada,2/19/1990,1,
B.Renkart,74,245,Rutgers,12/29/1984,3,
A.Peterson,70,212,Georgia Southern,7/1/1979,9,
A.Armstrong,70,185,West Texas A&M,3/29/1983,4,
J.Gilmore,77,257,Penn State,9/21/1979,10,
C.Prince,77,257,Oregon State,3/9/1989,0,
B.Schwenke,75,318,California,3/22/1991,3,TEN
,75,202,LSU,3/6/1991,3,SEA
J.Taylor,70,195,Boise State,9/29/1990,3,MIA
E.Lacy,71,234,Alabama,6/2/1990,3,GB
J.Weeks,70,246,Baylor,2/17/1986,6,HOU
N.Roosevelt,72,200,Buffalo,12/24/1987,3,
J.Thornton,73,213,Kansas,7/12/1983,1,
D.Wynn,69,175,Colorado State,2/25/1981,6,
C.Anderson,76,250,Mississippi,12/8/1981,7,
P.Crayton,72,205,Northwestern Oklahoma State,4/7/1979,9,
J.Reeves,71,188,Purdue,10/8/1982,8,
G.Robinson,76,248,Arizona State,10/13/1989,2,
,74,220,LSU,2/26/1993,0,NYJ
T.McClure,73,296,LSU,2/16/1977,14,
D.McCullers,79,352,Tennessee,8/11/1992,2,PIT
,70,195,Georgia Tech,4/7/1990,1,
,78,310,Virginia,6/13/1991,2,JAC
,72,220,Stanford,4/20/1991,2,NE
D.Foucault,80,320,Unknown,1/7/1989,2,
,77,250,South Dakota,1/25/1991,2,ATL
Y.Smallwood,76,236,Connecticut,12/25/1991,1,
,76,256,Massachusetts,6/8/1990,1,PIT
R.Madison,71,200,Toledo,3/5/1991,1,
K.Mawae,76,289,LSU,1/23/1971,16,
,74,278,Michigan,10/8/1991,0,
D.Smith,71,184,South Alabama,7/8/1991,0,
,70,230,Weber State,8/27/1990,0,
M.Presley,76,225,California (PA),4/26/1991,0,
,77,290,Stanford,5/1/1990,0,
,79,309,Michigan,7/22/1991,2,TEN
,71,180,Coastal Carolina,8/10/1986,1,
,75,315,South Carolina,10/3/1991,0,JAC
,69,210,Miami (Fla.),9/23/1993,0,CLE
,76,250,Miami (Fla.),10/21/1991,0,OAK
,71,196,Arizona State,8/29/1992,0,GB
K.Williams,73,219,Washington,5/20/1992,0,SEA
,77,329,Miami (Fla.),4/25/1994,0,NYG
